,original_text,reframed_text,strategy,original_with_label,strategy2,strategy_reframe
14,killed on the side with no one and people just looking now no care hate this,"Someone hurt in a bicycle accident, hopefull will get help",,killed on the side with no one and people just looking now no care hate this,,"Someone hurt in a bicycle accident, hopefull will get help"
15,"Ugh, some kind of violent unexpected end. Tragic, and so awful that the dogs are there in the blood. Gross and",Atleast he will get to rest now and hopefully reconnected with family for the funeral.,,"Ugh, some kind of violent unexpected end. Tragic, and so awful that the dogs are there in the blood. Gross and",,Atleast he will get to rest now and hopefully reconnected with family for the funeral.
16,keep the dogs away from the blood !  the dead man deserves more respect !,The man hit his head by acc,,keep the dogs away from the blood !  the dead man deserves more respect !,,The man hit his head by acc
17,jesus thats hard to look at he,death is never okay but maybe this man can now be with god,,jesus thats hard to look at he,,death is never okay but maybe this man can now be with god
18,Looks like a suicide,The man is smiling as if he is playing a prank.,,Looks like a suicide,,The man is smiling as if he is playing a prank.
19,"Awful, is he dead?",the road needs cleaned,,"Awful, is he dead?",,the road needs cleaned
20,bashed by car i guess,Thank goodness these men found this fallen individual so that he can get a prop,,bashed by car i guess,,Thank goodness these men found this fallen individual so that he can get a prop
21,Omg. Stop the dog he’s eating evidence.,This is probably not uncommon. It seems normal to them.,,Omg. Stop the dog he’s eating evidence.,,This is probably not uncommon. It seems normal to them.
22,"Oh my, wonder what happened to him? That looks like an awful scene! :/",Due to the amount of blood loss it is likely this p,,"Oh my, wonder what happened to him? That looks like an awful scene! :/",,Due to the amount of blood loss it is likely this p
23,this guy got really messed up and is bleeding real bad. the dogs are confused about the blood on the ground here.,The guy is pretending to be injured to scare his fr,,this guy got really messed up and is bleeding real bad. the dogs are confused about the blood on the ground here.,,The guy is pretending to be injured to scare his fr
24,"Oh sh*t. I hope he's not dead, but people are standing around like he is. And the dog. Jeezum crow.",at;east people were there to see him,,"Oh sh*t. I hope he's not dead, but people are standing around like he is. And the dog. Jeezum crow.",,at;east people were there to see him
25,Has this person been beaten or is passed out from drugs?,People have shown up to help this man who has been in an accident.,,Has this person been beaten or is passed out from drugs?,,People have shown up to help this man who has been in an accident.
26,disgusted and sad that this mans dead body is just lying in the road,A drug addict struck by a car,,disgusted and sad that this mans dead body is just lying in the road,,A drug addict struck by a car
27,This is beyond disturbing and traumatizing. It is also upsetting that these people are just standing there and,This is a staged scene. It helps people see the dangers,,This is beyond disturbing and traumatizing. It is also upsetting that these people are just standing there and,,This is a staged scene. It helps people see the dangers
28,Terrible he looks dead,This man was saved by the dog,,Terrible he looks dead,,This man was saved by the dog
29,This is awful. The poop dogs dont know what is happening,At least the dogs are getting fed.,,This is awful. The poop dogs dont know what is happening,,At least the dogs are getting fed.
30,"This photo is really upsetting with the blood, and the obviously dead man. I wonder if he was murdered or i",The person has arrived on scene to help the injured man,,"This photo is really upsetting with the blood, and the obviously dead man. I wonder if he was murdered or i",,The person has arrived on scene to help the injured man
31,This scene is very heart wrenching. It is diffi,This man was murdered in broad daylight.,,This scene is very heart wrenching. It is diffi,,This man was murdered in broad daylight.
32,"Oh my gosh, guy was killed and this looks horrific!",strong recovering community,,"Oh my gosh, guy was killed and this looks horrific!",,strong recovering community
33,Horrible scene. Someone get those dogs out of there!,A person on the ground.  Hard to tell what happened to him.,,Horrible scene. Someone get those dogs out of there!,,A person on the ground.  Hard to tell what happened to him.
34,I hope this person isn’t dead and gets the help they need.  I feel bad for him.,Wonder why this person is laying down and bleeding. Its sa,,I hope this person isn’t dead and gets the help they need.  I feel bad for him.,,Wonder why this person is laying down and bleeding. Its sa
35,"Looks bad, why are these people jus looking at him?",how am I supposed to feel better about a dead body like that,,"Looks bad, why are these people jus looking at him?",,how am I supposed to feel better about a dead body like that
36,That's horrible.,I am very worry and sad,,That's horrible.,,I am very worry and sad
37,I feel grossed out and sad.,Violence is no way to settle beefs,,I feel grossed out and sad.,,Violence is no way to settle beefs
38,I feel bad seeing someone in that ondition and,The dogs might have found a man that needed help.,,I feel bad seeing someone in that ondition and,,The dogs might have found a man that needed help.
39,I bet he was shot in a drive by.  Too much blood and looks like a head wound.,This man is no longer feeling any pain.,,I bet he was shot in a drive by.  Too much blood and looks like a head wound.,,This man is no longer feeling any pain.
40,Yikes!  No.  Get those dogs away.,Horror at death . Maybe he was committing a crime and his dea,,Yikes!  No.  Get those dogs away.,,Horror at death . Maybe he was committing a crime and his dea
41,"Oh this is horrible,",The people don't seem upset so maybe that was a bad guy and he needed to be st,,"Oh this is horrible,",,The people don't seem upset so maybe that was a bad guy and he needed to be st
42,"something disturbing happened, there is a lot of blood makes me squ",This man commited a terrible crime and was punished by the commity. It is horrifying.,,"something disturbing happened, there is a lot of blood makes me squ",,This man commited a terrible crime and was punished by the commity. It is horrifying.
43,what a tragedy my gosh,The people looking upon this man are saddened and thinking about his family,,what a tragedy my gosh,,The people looking upon this man are saddened and thinking about his family
44,OUCH! I'm not so sure that man survived whatever happened to him.,Maybe the guy deserved to die. He might have been a terrible person while he was alive,,OUCH! I'm not so sure that man survived whatever happened to him.,,Maybe the guy deserved to die. He might have been a terrible person while he was alive
45,that is sad. the man was murdered.,These dogs are concerned for their owner who is hurt.,,that is sad. the man was murdered.,,These dogs are concerned for their owner who is hurt.
46,This is revolting.  Why aren't they keeping the dogs away.,This scene was done very well in the movie.,,This is revolting.  Why aren't they keeping the dogs away.,,This scene was done very well in the movie.
47,Feel bad for family members that they have to see this,These rescuers found this person in time,,Feel bad for family members that they have to see this,,These rescuers found this person in time
48,So horriffic.  Looks like they,This man could have had a drug problem or something similar. Then wouldn’t be as bad,,So horriffic.  Looks like they,,This man could have had a drug problem or something similar. Then wouldn’t be as bad
49,"I feel very bad for this person, They are obviously passed.",The situation is sad and unfortunate for the person that passed.,,"I feel very bad for this person, They are obviously passed.",,The situation is sad and unfortunate for the person that passed.
50,accidents are bad,Terrible accident.  Hard to rethink this one.  Atleast someone is there to he,,accidents are bad,,Terrible accident.  Hard to rethink this one.  Atleast someone is there to he
51,Sorrow. Appears an accidental death and sadness from onlooker - family?,"This is gross, makes me uncomfortable--but it's a different culture maybe",,Sorrow. Appears an accidental death and sadness from onlooker - family?,,"This is gross, makes me uncomfortable--but it's a different culture maybe"
52,Oh no this looks like a terrible accident with lots of blood. So sad.,maybe he was a bad guy that got taken out,,Oh no this looks like a terrible accident with lots of blood. So sad.,,maybe he was a bad guy that got taken out
53,"Oh jesus, that's awful. Why are they just looking at a dead person.",the guy is thinking thank god it wasn't me,,"Oh jesus, that's awful. Why are they just looking at a dead person.",,the guy is thinking thank god it wasn't me
54,This is violent and sad.,Maybe the injured man was a criminal who tried to shoot the police.,,This is violent and sad.,,Maybe the injured man was a criminal who tried to shoot the police.
55,Wow. Extremely strong picture. My heart is racing.Poor man.,Perhaps this guy wasn't a good person and the world is better off.,,Wow. Extremely strong picture. My heart is racing.Poor man.,,Perhaps this guy wasn't a good person and the world is better off.
56,Oh good god.  Pray he is alright.  Why are they standing there? Call someone!! And th,I wonder what he did to get himself killed.,,Oh good god.  Pray he is alright.  Why are they standing there? Call someone!! And th,,I wonder what he did to get himself killed.
57,I feel disgusted sad and angry that people st,These dogs are out on their first walk as puppies,,I feel disgusted sad and angry that people st,,These dogs are out on their first walk as puppies
58,I feel so bad that for this person and their family. why let dogs near him,There is a lot of blood on the street and the dog looks like it's interested in eating it - ew!,,I feel so bad that for this person and their family. why let dogs near him,,There is a lot of blood on the street and the dog looks like it's interested in eating it - ew!
59,A dead person laying on the ground. Sad.,Bad accident and dogs are drink his blood.,,A dead person laying on the ground. Sad.,,Bad accident and dogs are drink his blood.
60,This person looked like the got run over. This is horrific and so sad,He is dead and thus feels no more pain.,,This person looked like the got run over. This is horrific and so sad,,He is dead and thus feels no more pain.
61,Anxiety and sorrow for what appears to be a pointless death,Maybe he was the bad guy. The others were saved because of it.,,Anxiety and sorrow for what appears to be a pointless death,,Maybe he was the bad guy. The others were saved because of it.
62,"This looks like a murder or one hell of an accident where someone really was hurt in an unspeakable way, and then demeaned by",Dogs are our friends they care for us more than humans.,,"This looks like a murder or one hell of an accident where someone really was hurt in an unspeakable way, and then demeaned by",,Dogs are our friends they care for us more than humans.
63,Terrible to see a dead man in the street. Hope he gets justice.,This person is found injured but is not dead.,,Terrible to see a dead man in the street. Hope he gets justice.,,This person is found injured but is not dead.
64,"Yikes, the person is dead and the dog is licking the blood.","I hope the accident isn't a fatal one, there is a lot of blood but he doesn't seem dea",,"Yikes, the person is dead and the dog is licking the blood.",,"I hope the accident isn't a fatal one, there is a lot of blood but he doesn't seem dea"
65,This scene is horrible. The dog licking the blood makes it even,dogs are showing sympathy for a fallen person,,This scene is horrible. The dog licking the blood makes it even,,dogs are showing sympathy for a fallen person
66,"That is a massive head injury, maybe fatal. Cou",This man is injured,,"That is a massive head injury, maybe fatal. Cou",,This man is injured
67,What a sad murder scene. Looks like a brutal murder. I hope they found who did it,Perhaps the person is just sleeping unconscious,,What a sad murder scene. Looks like a brutal murder. I hope they found who did it,,Perhaps the person is just sleeping unconscious
68,disgusting dog lick up human blood,He's rehearsing a scene for a movie.,,disgusting dog lick up human blood,,He's rehearsing a scene for a movie.
69,Man was murdered  we dont know why though and the onlookers dont look too horrified. Sad situat,This a dead body where people will have to take car of.,,Man was murdered  we dont know why though and the onlookers dont look too horrified. Sad situat,,This a dead body where people will have to take car of.
70,Sad.  Death.  People just looking like t,support,,Sad.  Death.  People just looking like t,,support
71,Very sad way to live. People walking around like it's nothing. Scary world we live in.,this person has perished but justice will be served for his death,,Very sad way to live. People walking around like it's nothing. Scary world we live in.,,this person has perished but justice will be served for his death
72,Oh. Yikes. Sad. Hit by a car?,This person has fallen asleep in a puddle of,,Oh. Yikes. Sad. Hit by a car?,,This person has fallen asleep in a puddle of
73,"disgusting,  why are those people just watching like that, not helping. Very unsettlng.","Iam not sure how he sleed and felll, call 91",,"disgusting,  why are those people just watching like that, not helping. Very unsettlng.",,"Iam not sure how he sleed and felll, call 91"
74,this is honestly horrible,The fake blood from the movie prop looked so real bypassers had to stop to snspe,,this is honestly horrible,,The fake blood from the movie prop looked so real bypassers had to stop to snspe
75,"dying on the street, are others judging or sad. is he left to die in his own blood oof",A bad person no lo,,"dying on the street, are others judging or sad. is he left to die in his own blood oof",,A bad person no lo
76,Someone just murdered this person. I hope the observers,This man who looks like he got executed might have been hit by a truck.,,Someone just murdered this person. I hope the observers,,This man who looks like he got executed might have been hit by a truck.
77,This person looks seriously hurt or even dead.,A bad scene of an apparent murder,,This person looks seriously hurt or even dead.,,A bad scene of an apparent murder
78,so sad to see people in desparate circumstances,The guy dropped a bunch of paint and the dog thinks it's food.,,so sad to see people in desparate circumstances,,The guy dropped a bunch of paint and the dog thinks it's food.
79,"Oh my goodness, this looks bad",accidents happen but help is also jsut a call away,,"Oh my goodness, this looks bad",,accidents happen but help is also jsut a call away
80,Oh that's messed up. And people are just standing there. Is no one going ot help him.,I don't think I would let my dogs by this man.,,Oh that's messed up. And people are just standing there. Is no one going ot help him.,,I don't think I would let my dogs by this man.
81,This is devastating. So freaking sad! What happened?,"This is a horrific death.  While very sad, I am glad his suffering is over and he is at peace.",,This is devastating. So freaking sad! What happened?,,"This is a horrific death.  While very sad, I am glad his suffering is over and he is at peace."
82,I wonder what happend to the guy. Is he dead?,The person is laying on the ground and listening to the sound.,,I wonder what happend to the guy. Is he dead?,,The person is laying on the ground and listening to the sound.
83,a life cut too short.,A man saves his wife from a dangerous killer.,,a life cut too short.,,A man saves his wife from a dangerous killer.
84,Sickened by the man's death. aThe dog licking the blood is disg,What looks to be murder could be a scene from a tv show or movie!,,Sickened by the man's death. aThe dog licking the blood is disg,,What looks to be murder could be a scene from a tv show or movie!
85,"terrible, heartless, hopeless, painful,",he was killed trying to rape that lady,,"terrible, heartless, hopeless, painful,",,he was killed trying to rape that lady
86,I feel disgusted that the dog seems to be licking,The man did a prank on his friends and family.,,I feel disgusted that the dog seems to be licking,,The man did a prank on his friends and family.
87,Is he dead or injured. It's a lot of blood.,"The person who was shot was convicted of a crime of killing many other people, but he was shot before he could continue his",,Is he dead or injured. It's a lot of blood.,,"The person who was shot was convicted of a crime of killing many other people, but he was shot before he could continue his"
88,this looks like something very violent happened.,Evil man killed,,this looks like something very violent happened.,,Evil man killed
89,My heart hurts. The hurting people going on,This is so sad. At least he was found,,My heart hurts. The hurting people going on,,This is so sad. At least he was found
90,Shocking.  I feel bad for him.,"This was an act of terror towards this person plan and simple, no rethinking involved.",,Shocking.  I feel bad for him.,,"This was an act of terror towards this person plan and simple, no rethinking involved."
91,"wondering what happened, disc",He was lost and now they have clos,,"wondering what happened, disc",,He was lost and now they have clos
92,"anger, disgust, curiosity",At least the dogs won't go hungry today...,,"anger, disgust, curiosity",,At least the dogs won't go hungry today...
93,What a terrible image. I feel sad and frightened,Someone has just been found dead,,What a terrible image. I feel sad and frightened,,Someone has just been found dead
94,Mortified. What happened to this man? Disgusted at the dogs in the blood.,People are just watching the guy. They are just ewatching,,Mortified. What happened to this man? Disgusted at the dogs in the blood.,,People are just watching the guy. They are just ewatching
95,My stomach and heart hurt for this scene and this poor man.,they have to get the people who did this for prison,,My stomach and heart hurt for this scene and this poor man.,,they have to get the people who did this for prison
96,This is brutal and hard to look at. It makes me so sad for the person.,Oh so sad.  I am not really sure I could rethink this but I will try to feel like it is,,This is brutal and hard to look at. It makes me so sad for the person.,,Oh so sad.  I am not really sure I could rethink this but I will try to feel like it is
97,"This man looks dead or severly hurt, I am nervosu for his fate",AFter the accident neighbors came over t,,"This man looks dead or severly hurt, I am nervosu for his fate",,AFter the accident neighbors came over t
98,Sad someone was shot in central America,I hope the dog is able to recon,,Sad someone was shot in central America,,I hope the dog is able to recon
99,"Seeing dead bodies is always awful and sickening, especially w the dogs and blood had to look",This may have been a criminal. That makes it easier to see.,,"Seeing dead bodies is always awful and sickening, especially w the dogs and blood had to look",,This may have been a criminal. That makes it easier to see.
100,"Curious, want to help this man but too late.",Man on the ground possibly shot in the head,,"Curious, want to help this man but too late.",,Man on the ground possibly shot in the head
101,finding a murdered person on the side of the road,At least he was found and can be put to rest.,,finding a murdered person on the side of the road,,At least he was found and can be put to rest.
102,"Wow that's pretty gross, I hope they're not letting their dog lick that blood.",Maybe he was a bad person.,,"Wow that's pretty gross, I hope they're not letting their dog lick that blood.",,Maybe he was a bad person.
103,This is distressing. Both the fresh blood on the ground and the nearby animals and people together are,Rethinking this is difficult - doesn't look like a happy ending - the man is dead.....  m,,This is distressing. Both the fresh blood on the ground and the nearby animals and people together are,,Rethinking this is difficult - doesn't look like a happy ending - the man is dead.....  m
104,How awful. The man had a bad accident. He must be dead. How,actors on the set of a movie,,How awful. The man had a bad accident. He must be dead. How,,actors on the set of a movie
105,This makes me heart broken and sick in side.  The people that found him must be feeling horrible. Its not,he has been found and could be alive and saved,,This makes me heart broken and sick in side.  The people that found him must be feeling horrible. Its not,,he has been found and could be alive and saved
106,Sad and disturbing that th,This guy was in a bike race and won,,Sad and disturbing that th,,This guy was in a bike race and won
107,This is inhumane and brutal,All of the offenders were caught and punished.,,This is inhumane and brutal,,All of the offenders were caught and punished.
108,"I am upset by it. There is a lot of blood which. makes me wonder if this is a murder victim. The dogs are heartbreaking, I wonder if they",This is an unfornate loss of life especially in such a public manner,,"I am upset by it. There is a lot of blood which. makes me wonder if this is a murder victim. The dogs are heartbreaking, I wonder if they",,This is an unfornate loss of life especially in such a public manner
109,"This is really awful, seeing the man and the dogs. I hate it.",These people found this injured man and are going to help him to the hospital.,,"This is really awful, seeing the man and the dogs. I hate it.",,These people found this injured man and are going to help him to the hospital.
110,Disgusting  Hate to see bloody,He lived a rough life.,,Disgusting  Hate to see bloody,,He lived a rough life.
111,This is disturbing. The dogs are standing in this mans blood.,This man fell and is hurt the others have stopped to help him.,,This is disturbing. The dogs are standing in this mans blood.,,This man fell and is hurt the others have stopped to help him.
112,Very disgusting. Cant look,These people are watching a movie being made.,,Very disgusting. Cant look,,These people are watching a movie being made.
113,This is awful. Looks like a brutal homicide and the body was just left in the street for someone to find. There are kids in the background too.,aftermath of a revolution,,This is awful. Looks like a brutal homicide and the body was just left in the street for someone to find. There are kids in the background too.,,aftermath of a revolution
114,Bad bike accident? Or gunshot wound by the road. Why is no one helping?? Get the dogs away from the blood,This is war in the jungle.,,Bad bike accident? Or gunshot wound by the road. Why is no one helping?? Get the dogs away from the blood,,This is war in the jungle.
115,so sad that the man is dead and the dogs are just walking all over the place,"Not much to say, horrible",,so sad that the man is dead and the dogs are just walking all over the place,,"Not much to say, horrible"
116,"Murder on the road.  Those witnesses look too calm, r",This person knew death was coming.,,"Murder on the road.  Those witnesses look too calm, r",,This person knew death was coming.
117,Wow! Is he dead? There's blood everywhere!,People are glad they did not die. Dogs have something,,Wow! Is he dead? There's blood everywhere!,,People are glad they did not die. Dogs have something
118,Is that dog straight-up drinking this guy's blood? Wear a helmet people.,this is not good,,Is that dog straight-up drinking this guy's blood? Wear a helmet people.,,this is not good
119,This is horrible! How was this person killed? So sad.,hes really hurt but hopefully not dead,,This is horrible! How was this person killed? So sad.,,hes really hurt but hopefully not dead
120,Oh I don't want to see this.  He's probably dead.,The dog thinks his blood is yummy,,Oh I don't want to see this.  He's probably dead.,,The dog thinks his blood is yummy
121,"oh no! This poor guy, I feel sad and scared of this.",This man maybe got hit by a car,,"oh no! This poor guy, I feel sad and scared of this.",,This man maybe got hit by a car
122,HOW,This person might be acting in a movie.  This could be a scene.,,HOW,,This person might be acting in a movie.  This could be a scene.
123,probably killed by drug cartel,a grusesome scene with a man in pool of blood and there is a couple of dogs,,probably killed by drug cartel,,a grusesome scene with a man in pool of blood and there is a couple of dogs
124,This is very disturbing seeing the dead man and blood,The man was in a bad accident. But he still has a pulse and the ambulance is on it's way. He may still survive.,,This is very disturbing seeing the dead man and blood,,The man was in a bad accident. But he still has a pulse and the ambulance is on it's way. He may still survive.
125,Horrific to see all the blood,They are coming to peace w/ his end.,,Horrific to see all the blood,,They are coming to peace w/ his end.
126,Horrified. This looks to be a murder scene,There are people around that are still alive.,,Horrified. This looks to be a murder scene,,There are people around that are still alive.
127,horrified and grossed out. Murdured in cold blood.,He was missing but now they know what,,horrified and grossed out. Murdured in cold blood.,,He was missing but now they know what
128,very grim.  the dog is the most disturbing,The people might be mourning a person death. It is sad though.,,very grim.  the dog is the most disturbing,,The people might be mourning a person death. It is sad though.
129,Horrific scene.  Makes me think of brutality.  Also concerned about the dogs,The dead man was lucky be found,,Horrific scene.  Makes me think of brutality.  Also concerned about the dogs,,The dead man was lucky be found
130,This is terrible,The scene for the movie was shot today and I think it's a good cut. We will use it.,,This is terrible,,The scene for the movie was shot today and I think it's a good cut. We will use it.
131,Sad to this victim wondering what happened.,This person had a bad accident but help is on the way.,,Sad to this victim wondering what happened.,,This person had a bad accident but help is on the way.
132,I'm sad to see the death and the blood on the womans skirt,"it's difficult to reimagine this, it appears to be an accident",,I'm sad to see the death and the blood on the womans skirt,,"it's difficult to reimagine this, it appears to be an accident"
133,Wow now that's disturbing and sad at the same time.,I'm not sure what i'm looking at but the blood makes me very upset,,Wow now that's disturbing and sad at the same time.,,I'm not sure what i'm looking at but the blood makes me very upset
134,"this is very gruesome, i can't imagine what is going through their minds",The dead man was mentally ill and was suffering in life so it's a bitterswee,,"this is very gruesome, i can't imagine what is going through their minds",,The dead man was mentally ill and was suffering in life so it's a bitterswee
135,This is a disgusting and highly disturbing image.  I am grossed out and horried for the,This could be a staged photo or advertisement for,,This is a disgusting and highly disturbing image.  I am grossed out and horried for the,,This could be a staged photo or advertisement for
136,Eek! Dog walking in blood of dead person. Tragic.,He is now without pain hopefully.,,Eek! Dog walking in blood of dead person. Tragic.,,He is now without pain hopefully.
137,"OMG, this is so disturbing and graphic.",At least the body was found and now the family of the deceased can start to get closure about what happened to their family member.,,"OMG, this is so disturbing and graphic.",,At least the body was found and now the family of the deceased can start to get closure about what happened to their family member.
138,gross murder scene? bad accident. scary,I feel gratitude towards all these people. This is because this person's death is seen as important to the others.,,gross murder scene? bad accident. scary,,I feel gratitude towards all these people. This is because this person's death is seen as important to the others.
139,Unfortunate loss of life,At least people found him so now he can rip,,Unfortunate loss of life,,At least people found him so now he can rip
140,This is terrible on so many levels,An accident with a messy head wound,,This is terrible on so many levels,,An accident with a messy head wound
141,"oh wow, that's gross and I think he died",This man had been trying to victimize the woman in the picture,,"oh wow, that's gross and I think he died",,This man had been trying to victimize the woman in the picture
142,It reminds me of protests in 2020,someone needs to move those dogs,,It reminds me of protests in 2020,,someone needs to move those dogs
143,Very sick looking at this. Horrible image to see,Man in bike accident bysta,,Very sick looking at this. Horrible image to see,,Man in bike accident bysta
144,So horrible. Crime? Murder? Accident? so much blood. The dogs are checking it out.,I don't think rethinking helps here,,So horrible. Crime? Murder? Accident? so much blood. The dogs are checking it out.,,I don't think rethinking helps here
145,This person is deceased and I am shocked at how the others are just standing there,I hope he is able to recover,,This person is deceased and I am shocked at how the others are just standing there,,I hope he is able to recover
146,"Horrifying, what happened. Seems like it was intentional, war or gang.",I can't it terrible,,"Horrifying, what happened. Seems like it was intentional, war or gang.",,I can't it terrible
147,Looks like a dead body. Ouch.,This could have been someone who was a bad person.,,Looks like a dead body. Ouch.,,This could have been someone who was a bad person.
148,Its very bad situtation,A man suffer a head wound and waits for hel,,Its very bad situtation,,A man suffer a head wound and waits for hel
149,person murdered and crowd watching him die,life during war hopefully the bad guy,,person murdered and crowd watching him die,,life during war hopefully the bad guy
150,"Oh no! Looks like a road accident, and it seems to be too late to save him.",This person might be the start in a new thriller/horror movie and this is the begin,,"Oh no! Looks like a road accident, and it seems to be too late to save him.",,This person might be the start in a new thriller/horror movie and this is the begin
151,This is just Guesome. What happened to that man and why,A sad image of a dead man after being in an accident or attack,,This is just Guesome. What happened to that man and why,,A sad image of a dead man after being in an accident or attack
152,Disturbing that the person is dead and the dogs are so close to the blood spread,Animals can help detect the crime scene.,,Disturbing that the person is dead and the dogs are so close to the blood spread,,Animals can help detect the crime scene.
153,looks like this man was shot while driving a bicycl,"death, somber and moving",,looks like this man was shot while driving a bicycl,,"death, somber and moving"
154,That poor man looks like he's not going to make it. Sa,"Oh No, Is he alive?",,That poor man looks like he's not going to make it. Sa,,"Oh No, Is he alive?"
155,This is awful. One of the worst things I ahve seen.,This man was the only one injured in the incident.,,This is awful. One of the worst things I ahve seen.,,This man was the only one injured in the incident.
156,Disturbing that the people are looking a someone laying there that they don't know is still alive or dead,"A person was murdered on the street, hopefully his family knows.",,Disturbing that the people are looking a someone laying there that they don't know is still alive or dead,,"A person was murdered on the street, hopefully his family knows."
157,absolutely disgusting. the peolpe and the d,Very disturbing image. Can't think of a way to rethink it,,absolutely disgusting. the peolpe and the d,,Very disturbing image. Can't think of a way to rethink it
158,Omg this is horrible.   Poor man,There was no time to help and he died instantly.,,Omg this is horrible.   Poor man,,There was no time to help and he died instantly.
159,"Very gory, it looks like a gangland murder vs. a traffic accident. Unsettling.",The man is okay it is not blood on the ground.,,"Very gory, it looks like a gangland murder vs. a traffic accident. Unsettling.",,The man is okay it is not blood on the ground.
160,They should get those dogs away from his blood.  That can't be good for them.,The dogs are loving their treat. The man is in peace,,They should get those dogs away from his blood.  That can't be good for them.,,The dogs are loving their treat. The man is in peace
161,I feel horrified that this girl has been killed so violently. Those poor people that seem to have found her.,"This is a really scary image, and this man is obviously dead. How can there be any rethinking to this?",,I feel horrified that this girl has been killed so violently. Those poor people that seem to have found her.,,"This is a really scary image, and this man is obviously dead. How can there be any rethinking to this?"
162,Oh wow that looks awful i am disgusted jesus xhrist,I can't see this in a positive light,,Oh wow that looks awful i am disgusted jesus xhrist,,I can't see this in a positive light
163,"damn, that dude probably died due to drug gangs or gang violence if",This person was found and didnt rot,,"damn, that dude probably died due to drug gangs or gang violence if",,This person was found and didnt rot
164,This is gross with the dogs licking the blood and also confusing the way the people are looking unworried,They just found this man that needs help and they will help him.,,This is gross with the dogs licking the blood and also confusing the way the people are looking unworried,,They just found this man that needs help and they will help him.
165,"so terrible, i wonder what happened, gang related or accident",This person is performing a live art installation piece,,"so terrible, i wonder what happened, gang related or accident",,This person is performing a live art installation piece
166,How horrible! Was it an accident?,i'm sure he will be fine he just needs some help thankfully,,How horrible! Was it an accident?,,i'm sure he will be fine he just needs some help thankfully
167,Sick. I can't believe they are just looking on letting the dogs,accidents are tragedies. the people will be effected,,Sick. I can't believe they are just looking on letting the dogs,,accidents are tragedies. the people will be effected
168,Disgusted by the image so much that I cannot look at it. The god being there makes it worse.,This man was killed. This is horrible.,,Disgusted by the image so much that I cannot look at it. The god being there makes it worse.,,This man was killed. This is horrible.
169,After saw this image I feel very afraid. It reminds me a fearful situation,He was a mean person who terrorized the neighborhood.,,After saw this image I feel very afraid. It reminds me a fearful situation,,He was a mean person who terrorized the neighborhood.
170,I am horrified and terrified.,A victim who lost his life due to gang violence,,I am horrified and terrified.,,A victim who lost his life due to gang violence
171,THis is horrific. He looks dead and it is disgusting the dogs are licking blood,I am saddened. But hopefully this will lead to change.,,THis is horrific. He looks dead and it is disgusting the dogs are licking blood,,I am saddened. But hopefully this will lead to change.
172,"horrifying, this person looks dead. I am disturbed.",The people will make sure the man is not just left there,,"horrifying, this person looks dead. I am disturbed.",,The people will make sure the man is not just left there
173,so awful to see someone brutally killed and the dog,due to road accident one person is dy,,so awful to see someone brutally killed and the dog,,due to road accident one person is dy
174,A horrible scene.,Tragic but hopefully quick,,A horrible scene.,,Tragic but hopefully quick
175,So sad that he died in trauma,Sad disgusted bloo,,So sad that he died in trauma,,Sad disgusted bloo
176,"Oh man, what happened? Gun shot??",This is a really good art scene. Even the dogs enjoy it.,,"Oh man, what happened? Gun shot??",,This is a really good art scene. Even the dogs enjoy it.
